...1,CellSubset,cell_name,functional_markers,lineage_markers,notes
149,CD4+ T Cell (EMRA) CXCR3hi CD127lo,CD4+ T Cell EMRA,CXCR3hi CD127lo,CD3+ CD19- CD56- CD33- CD4+ gdTCR- CD8- CD45RA+ CCR7-,NA
150,CD4+ T Cell (Effector Memory) CD127hi PD_1lo HLA_DRhi,CD4+ T Cell Effector Memory,CD127hi PD_1lo HLA_DRhi,CD3+ CD19- CD56- CD33- CD4+ gdTCR- CD8- CD45RA- CCR7-,NA
151,CD4+ T Cell (Naive) CXCR3lo CD127hi ICOShi,CD4+ T Cell Naive,CXCR3lo CD127hi ICOShi,CD3+ CD19- CD56- CD33- CD4+ gdTCR- CD8- CD45RA+ CCR7+,NA
152,CD4+ T Cell (Treg) CD95lo HLA_DRlo ICOShi,CD4+ T Cell Treg,CD95lo HLA_DRlo ICOShi,CD3+ CD19- CD56- CD33- CD4+ gdTCR- CD8- CD25+ CD127-,NA
153,CD4+ T Cell (Treg) No Profile,CD4+ T Cell Treg,NA,CD3+ CD19- CD56- CD33- CD4+ gdTCR- CD8- CD25+ CD127-,NA
154,CD4- CD8- T Cell CD45RAlo CD127hi T_bethi,CD4- CD8- T Cell,CD45RAlo CD127hi T_bethi,CD3+ CD19- CD56- CD33- CD4- gdTCR- CD8-,NA
155,CD8+ T Cell (Central Memory) CD127hi CXCR3hi T_bethi,CD8+ T Cell Central Memory,CD127hi CXCR3hi T_bethi,CD3+ CD19- CD56- CD33- CD4- gdTCR- CD8+ CD45RA- CCR7+,NA
156,CD8+ T Cell (Central Memory) CD127lo CXCR3hi T_bethi,CD8+ T Cell Central Memory,CD127lo CXCR3hi T_bethi,CD3+ CD19- CD56- CD33- CD4- gdTCR- CD8+ CD45RA- CCR7+,NA
157,CD8+ T Cell (Effector Memory) CD127hi CD28hi HLA_DRhi,CD8+ T Cell Effector Memory,CD127hi CD28hi HLA_DRhi,CD3+ CD19- CD56- CD33- CD4- gdTCR- CD8+ CD45RA- CCR7-,NA
158,CD8+ T Cell (Naive) CXCR3hi CD127lo,CD8+ T Cell Naive,CXCR3hi CD127lo,CD3+ CD19- CD56- CD33- CD4- gdTCR- CD8+ CD45RA+ CCR7+,NA
